latitude, longitude
32.607555127025, -85.481658491497
32.607559988732, -85.481657576014
32.607565709570, -85.481657244454
32.607571307493, -85.481656293566
32.607576534381, -85.481656104896
32.607581811123, -85.481655134841
32.607586609602, -85.481654714400
32.607592265964, -85.481653972833
32.607597651004, -85.481653744655
32.607602993967, -85.481653211183
32.607608962549, -85.481652740496
32.607614003929, -85.481651306197
32.607618777290, -85.481651507474
32.607624504342, -85.481650635222
32.607629937980, -85.481649682750
32.607635779332, -85.481649570388
32.607640559543, -85.481649119309
32.607646357344, -85.481648667149
32.607651147320, -85.481647477959
32.607656856697, -85.481647515976
32.607662123682, -85.481646508634
32.607667665486, -85.481646183407
32.607672710034, -85.481645806209
32.607678028618, -85.481644764591
32.607683664700, -85.481644695469
32.607689194023, -85.481643747989
